source_id,name,kind,cost_tier,address,locality,ward,lat,lng,phone,alt_phone,ambulance,is_24x7,hours,handles_wildlife,confirmed_on,notes,is_person,is_government,reg_no,wards
bmc-dog-control-office-city-mahalaxmi,"BMC City Dog Control Office, Mahalaxmi",govt,free,"BMC Dog Control Office, G. Babu Sakpal Marg, Dhobi Ghat, Mahalaxmi, Mumbai 400011",Mahalaxmi,G/S,,,9987798436,,no,no,"Dog catching vans in two shifts: morning 7:00 am-2:00 pm, evening 2:00 pm-9:00 pm; stray dog complaints received 10:30 am-5:30 pm",no,,Checked against https://www.mcgm.gov.in/irj/go/km/docs/documents/MCGM%20Department%20List/Veterinary%20Health%20Dept/Contact%20details%20of%20Dog%20Control%20Offices%20and%20Cattle%20Pound%20Office.pdf,no,yes,,
bmc-dog-control-office-eastern-suburbs-mulund-west,BMC Dog Control Office (Eastern Suburbs) - Mulund West,govt,free,"BMC Garage Premises, Dumping Road, Mulund (W), Mumbai - 400080",Mulund West,T,,,8692068993,,no,no,"Dog catching vans in two shifts: morning 7:00 am-2:00 pm, evening 2:00 pm-9:00 pm; stray dog complaints received 10:30 am-5:30 pm",no,,Checked against https://www.mcgm.gov.in/irj/go/km/docs/documents/MCGM%20Department%20List/Veterinary%20Health%20Dept/Contact%20details%20of%20Dog%20Control%20Offices%20and%20Cattle%20Pound%20Office.pdf,no,yes,,
bmc-dog-control-office-western-suburbs-bandra,"BMC Western Suburbs Dog Control Office, Bandra West",govt,free,"Opp. Bandra West Bus Depot, Dharmashala BMC Chowki, Station Road, Mumbai - 400050",Bandra West,H/W,,,9076202208,,no,no,"Dog catching vans in two shifts: morning 7:00 am-2:00 pm, evening 2:00 pm-9:00 pm; stray dog complaints received 10:30 am-5:30 pm",no,,Checked against https://www.mcgm.gov.in/irj/go/km/docs/documents/MCGM%20Department%20List/Veterinary%20Health%20Dept/Contact%20details%20of%20Dog%20Control%20Offices%20and%20Cattle%20Pound%20Office.pdf,no,yes,,
bmc-dog-control-office-western-suburbs-malad,BMC Dog Control Office (Malad) / Western Suburbs Office,govt,free,"Ground floor, Vasudev Building, Mamledarwadi Road No. 2, Malad West, Mumbai - 400064",Malad West,P/N,,,9076202207,,no,no,"Dog catching vans in two shifts: morning 7:00 am-2:00 pm, evening 2:00 pm-9:00 pm; stray dog complaints received 10:30 am-5:30 pm",no,,Checked against https://www.mcgm.gov.in/irj/go/km/docs/documents/MCGM%20Department%20List/Veterinary%20Health%20Dept/Contact%20details%20of%20Dog%20Control%20Offices%20and%20Cattle%20Pound%20Office.pdf,no,yes,,
bmc-vhd-head-office-govandi,BMC Veterinary Health Department Head Office,govt,free,"1, Govandi Road, Shivaji Nagar, Samrat Ashok Nagar, Govandi (E), Mumbai 400043",Govandi East,M/E,,,+91-7564976649,,no,yes,"Helpline stated 'always available'; office walk-in hours not stated (page: 'आमचा मोफत हेल्पलाइन नंबर, +91-7564976649 प्रत्येक मुंबईकरांच्या सेवेसाठी नेहमीच उपलब्ध आहे')",no,,Checked against https://vhd.mcgm.gov.in/about,no,yes,,
bombay-spca-bai-sakarbai-dinshaw-petit-hospital,Bombay SPCA (Bai Sakarbai Dinshaw Petit Hospital for Animals),charity_hospital,subsidised,"Bai Sakarbai Dinshaw Petit Hospital for Animals, Dr. S. S. Rao Road, Parel, Mumbai 400012",Parel,F/S,,,+91 8591659398,+91 9372787750,yes,yes,"OPD 9 am to 2 pm; emergency cases served 24 hours a day, 7 days a week; ambulance service up to 11 pm",no,,Checked against https://bombayspca.org/services.html,no,no,,
tata-trusts-small-animal-hospital-mahalaxmi,"Tata Trusts Small Animal Hospital, Mahalaxmi",charity_hospital,free,"Tata Trusts Small Animal Hospital, G.B. Sakpal Marg, Saat Rasta, Mahalaxmi, Mumbai 400011 (Landmark:, )",Mahalaxmi,G/S,18.9842677,72.8264585,022-6538-3538,+91 7021850400 (WhatsApp),no,yes,"24 x 7, 'Appointment & Emergency help is available 24 x 7' (contact page); 'Timing 24 x 7' (site header)",no,,Checked against https://sahmumbai.com/,no,no,,
all-about-them-worli,All About Them Foundation,ngo,,"15, Dr Elijah Moses Rd, beside Furniturewala Showroom, Worli Naka, Gandhi Nagar, Upper Worli, Mumbai, Maharashtra 400018",Worli,G/S,,,091367 82348,,no,no,9:00 AM - 6:00 PM,no,,"Checked against https://www.myfurries.com/help-an-animal/mumbai, confidence medium",no,no,,
all-india-animal-welfare-association,All India Animal Welfare Association (AIAWA),ngo,,"Dr. E. Moses Rd, Dhobi Ghat, Mahalaxmi (E), Mumbai 400018",Mahalaxmi,G/S,,,+91-22-23094077,,no,no,"Open 24 hours, Monday - Saturday",no,,"Checked against https://dogwithblog.in/animal-helplines-in-mumbai/, confidence medium",no,no,,
animal-kingdom-welfare-foundation,Animal Kingdom Welfare Foundation,ngo,subsidised,"Malad West, Mumbai, Maharashtra 400095",Malad West,P/N,,,+91 7777060657,+91 9930152589,no,no,Center Mon-Sun 10:00-18:00; visiting hours 16:00-18:00 by prior call/WhatsApp (+91 7777060657) at least one day ahead,no,,Checked against https://animalkingdomwelfare.com/contact.php,no,no,,
animal-matter-to-me-amtm,Animal Matter To Me (AMTM),ngo,subsidised,"AMTM Dana Pani Hospital, CTS 166/167, Ashram, Madh-Marve Road, Malad West, Mumbai 400061",Malad West,P/N,,,+91 99207 37737,,yes,no,"Hospital: Mon-Sat 11:00-17:30, Sun 12:30-16:30; helpline answered every day",yes,,Checked against https://amtmindia.org/contact-us/,no,no,,
animal-rescue-and-care-khar,Animal Rescue and Care,ngo,,"Flat No A-503, Technopark-2, Thakur Village, Near Thakur Public School, Kandivali East, Mumbai 400101",Kandivali East,R/S,,,+91 99207 22633,+91 8388883333,no,no,,no,,Checked against https://animalrescueandcare.com/contact-us/,no,no,,
association-for-service-and-healing-of-animals,Association For Service & Healing Of Animals (Only For Mumbai Stray Dogs),ngo,,"No 903/3 B, Green Acres Building, Andheri West, Mumbai - 400053, Near Lokhandwala Complex",Andheri West,K/W,,,9820127085,,no,no,10:00 AM - 6:00 PM,no,,"Checked against https://www.myfurries.com/help-an-animal/mumbai, confidence low",no,no,,
ctws-vardhman-sanskar-dham,Vardhman Sanskar Dham - Jeevadaya Animal Ambulance,ngo,,"Saibaba Nagar, Borivali West, Mumbai - 400092",Borivali West,R/C,,,+91 8591169090,,yes,no,9:45 AM - 7:00 PM,no,,Checked against https://vsdham.co.in/index.php/animal-ambulance/,no,no,,
humane-society-international-india,Humane Society International India (now Humane World for Animals India),ngo,,"C-10A, Dhanraj Mahal, Opp. Yacht Club, CSM Marg, Apollo Bunder, Mumbai 400001",Apollo Bunder,A,,,,,no,no,,no,,Checked against https://vhd.mcgm.gov.in/storage/uploads/admin/extras/circulars/List%20AWBI%20registered%20Animal%20Welfare%20Organization%20in%20Brihanmumbai%20Municipal%20corporation%20jurisdiction.pdf,no,no,,
ida-india-deonar-centre,IDA India - Deonar Centre (In Defence of Animals),ngo,,"IDA India Deonar Centre, Near Deonar Colony, Bainganwadi, Deonar, Mumbai 400043",Deonar (Bainganwadi),M/E,,,+91 9320056581,(022) 24170017,yes,no,Mon-Sat 9am-4pm; Deonar helpline 9320056581 (9 a.m. to 4 p.m.); centre activity 7.30am-8pm,no,,Checked against https://www.idaindia.org/deonar-center,no,no,,
jeevdaya-mangal-vardhini,Jeevdaya Mangal Vardhini,ngo,,"Jeevdaya Mangal Vardhini, 59, 1/1, Vallabh Society, 90 Feet Road, New Pant Nagar, Opposite Building No 146, Behind Patel Xerox, Ghatkopar East, Mumbai 400075","Pant Nagar, Ghatkopar East",N,,,+91 8655252573,022-2265252573,yes,no,,no,,"Checked against https://strayicare.org/helpline, confidence medium",no,no,,
